u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
0.180783987045288,0.164691805839539,0.179545268416405,0.176729008555412,0.186548575758934,0.189833328127861,Calcarine_L_43,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Calcarine_L_43,Nalt,SON2_003
0.131281420588493,0.119258224964142,0.121516808867455,0.127122834324837,0.125695422291756,0.122730098664761,Calcarine_L_43,Nalt,SON2_004
0.0557929016649723,0.0578536055982113,0.0579016022384167,0.0626893043518066,0.0440897196531296,0.0545538105070591,Calcarine_L_43,Nalt,SON2_005
0.0625357329845428,0.0577573701739311,0.0683377608656883,0.0519453808665276,0.0587340295314789,0.0491937436163425,Calcarine_L_43,Nalt,SON2_006
0.116888232529163,0.114662192761898,0.111640118062496,0.0971637442708015,0.109044536948204,0.107321836054325,Calcarine_L_43,Nalt,SON2_008
0.135467037558556,0.119265034794807,0.112723782658577,0.117821849882603,0.123550683259964,0.099924124777317,Calcarine_L_43,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Calcarine_L_43,Nalt,SON2_010
0.105745635926723,0.100075162947178,0.0956393629312515,0.102982349693775,0.0676719322800636,0.094666913151741,Calcarine_L_43,Nalt,SON2_011
0.0859876200556755,0.0697715580463409,0.0812897011637688,0.0837199464440346,0.0846969187259674,0.0840320512652397,Calcarine_L_43,Nalt,SON2_012
0.0837953612208366,0.06196678429842,0.0744786858558655,0.0491551347076893,0.0566282570362091,0.0634752810001373,Calcarine_L_43,Nalt,SON2_013
0.170729473233223,0.155345946550369,0.164658427238464,0.167854830622673,0.157903909683228,0.163367882370949,Calcarine_L_43,Nalt,SON2_014
0.0876485630869865,0.071801170706749,0.0624651648104191,0.0714598000049591,0.0761599317193031,0.0660524219274521,Calcarine_L_43,Nalt,SON2_015
0.0908091068267822,0.0528822354972363,0.0817224979400635,0.056378610432148,0.0578928403556347,0.0547327660024166,Calcarine_L_43,Nalt,SON2_016
0.0316394045948982,0.0421761646866798,0.0482324101030827,0.0359359532594681,0.0490759573876858,0.0460074320435524,Calcarine_L_43,Nalt,SON2_017
0.0200734473764896,0.00495718233287334,0.0353985540568829,0.0306822042912245,0.0227999445050955,0.00289269536733627,Calcarine_L_43,Nalt,SON2_018
0.119315512478352,0.130869507789612,0.10829222202301,0.100768484175205,0.0855587497353554,0.113585025072098,Calcarine_L_43,Nalt,SON2_019
0.0668714195489883,0.0764636099338531,0.0693977922201157,0.0813554301857948,0.0653419941663742,0.0786940306425095,Calcarine_L_43,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Calcarine_L_43,Nalt,SON2_022
0.115842454135418,0.134232804179192,0.134855464100838,0.119507886469364,0.120431698858738,0.140772879123688,Calcarine_L_43,Nalt,SON2_023
0.112553894519806,0.0982492417097092,0.0973190739750862,0.110806323587894,0.0945857614278793,0.11727100610733,Calcarine_L_43,Nalt,SON2_024
0.201306894421577,0.191655084490776,0.199125975370407,0.203466281294823,0.1857068836689,0.185271725058556,Calcarine_L_43,Nalt,SON2_025
