u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
0.229214861989021,0.231154888868332,0.230193287134171,0.232588812708855,0.236875459551811,0.241979330778122,Calcarine_R_44,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Calcarine_R_44,Nalt,SON2_003
0.19877116382122,0.190089121460915,0.18283374607563,0.188532844185829,0.191611081361771,0.199900701642036,Calcarine_R_44,Nalt,SON2_004
0.11447236686945,0.109137915074825,0.116999782621861,0.111366234719753,0.0970442667603493,0.109316878020763,Calcarine_R_44,Nalt,SON2_005
0.125897914171219,0.123311348259449,0.128756135702133,0.119991227984428,0.112601161003113,0.119499109685421,Calcarine_R_44,Nalt,SON2_006
0.12407922744751,0.118843473494053,0.114865206182003,0.108511067926884,0.109047055244446,0.117560483515263,Calcarine_R_44,Nalt,SON2_008
0.158281370997429,0.144919455051422,0.135839477181435,0.144364446401596,0.137116238474846,0.134713530540466,Calcarine_R_44,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Calcarine_R_44,Nalt,SON2_010
0.160349294543266,0.162887036800385,0.159665763378143,0.170338064432144,0.132567062973976,0.162664532661438,Calcarine_R_44,Nalt,SON2_011
0.152221173048019,0.133494779467583,0.157286271452904,0.145748600363731,0.154867380857468,0.141732662916183,Calcarine_R_44,Nalt,SON2_012
0.111823752522469,0.11253847181797,0.106452278792858,0.0949925780296326,0.0885374769568443,0.114875867962837,Calcarine_R_44,Nalt,SON2_013
0.152295023202896,0.138152152299881,0.146288752555847,0.153772622346878,0.14224399626255,0.131364896893501,Calcarine_R_44,Nalt,SON2_014
0.115189604461193,0.123138196766376,0.102501973509789,0.0902378559112549,0.0993961468338966,0.0994844138622284,Calcarine_R_44,Nalt,SON2_015
0.127692371606827,0.0990339741110802,0.100453071296215,0.0775484144687653,0.104189410805702,0.102604620158672,Calcarine_R_44,Nalt,SON2_016
0.0794739127159119,0.0904382616281509,0.108708992600441,0.0943174958229065,0.101517334580421,0.10336671769619,Calcarine_R_44,Nalt,SON2_017
0.0235615093261003,0.0112354410812259,0.0218102857470512,0.0316893421113491,0.0167827233672142,-0.000417306058807299,Calcarine_R_44,Nalt,SON2_018
0.121455386281013,0.130144685506821,0.1190470084548,0.103300228714943,0.0848139300942421,0.115520685911179,Calcarine_R_44,Nalt,SON2_019
0.0870824009180069,0.0906551480293274,0.0850619748234749,0.108530469238758,0.0912362113595009,0.0855973064899445,Calcarine_R_44,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Calcarine_R_44,Nalt,SON2_022
0.0937733054161072,0.121419824659824,0.120375044643879,0.104519076645374,0.104737810790539,0.123546086251736,Calcarine_R_44,Nalt,SON2_023
0.242964938282967,0.236907809972763,0.240231394767761,0.24458210170269,0.236028105020523,0.258764326572418,Calcarine_R_44,Nalt,SON2_024
0.249690636992455,0.23724552989006,0.23993618786335,0.25660902261734,0.23344475030899,0.240223690867424,Calcarine_R_44,Nalt,SON2_025
