u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0273902732878923,-0.0543982312083244,-0.0455480068922043,-0.0327337346971035,-0.0224621053785086,-0.0284532178193331,Cerebelum_Crus2_R_94,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Cerebelum_Crus2_R_94,Nalt,SON2_003
-0.0293891690671444,-0.0532953590154648,-0.0419928729534149,-0.0261694174259901,-0.0329655185341835,-0.0179712064564228,Cerebelum_Crus2_R_94,Nalt,SON2_004
-0.0227936562150717,-0.0025370588991791,-0.0143174957484007,-0.00519835436716676,-0.029511459171772,-0.0128699894994497,Cerebelum_Crus2_R_94,Nalt,SON2_005
-0.0268583763390779,-0.045686025172472,-0.0400070138275623,-0.0318489596247673,-0.0682361200451851,-0.0365522056818008,Cerebelum_Crus2_R_94,Nalt,SON2_006
-0.0370524525642395,-0.0229235235601664,-0.0232917461544275,-0.0142161846160889,-0.00691649131476879,-0.0165764316916466,Cerebelum_Crus2_R_94,Nalt,SON2_008
-0.0212041307240725,-0.0323822349309921,-0.0377700626850128,-0.0289207231253386,-0.0310393702238798,-0.0450912229716778,Cerebelum_Crus2_R_94,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Cerebelum_Crus2_R_94,Nalt,SON2_010
-0.00787528324872255,0.00427567772567272,0.00805897917598486,0.00685644568875432,-0.0179114155471325,0.00938104838132858,Cerebelum_Crus2_R_94,Nalt,SON2_011
-0.00435110367834568,-0.0286632217466831,-0.0102804079651833,-0.00508596515282989,-0.00696029327809811,-0.00782189145684242,Cerebelum_Crus2_R_94,Nalt,SON2_012
-0.000827996176667511,-0.00929130613803864,0.00564507767558098,-0.0102451154962182,-0.00265279691666365,-0.00464670406654477,Cerebelum_Crus2_R_94,Nalt,SON2_013
-0.0094465259462595,0.000398456293623894,0.00400594156235456,-0.012337313964963,-0.00124840310309082,-0.00808962807059288,Cerebelum_Crus2_R_94,Nalt,SON2_014
-0.0103993574157357,-0.022815240547061,-0.00587007962167263,-0.0283184871077538,-0.00458508310839534,-0.023298030719161,Cerebelum_Crus2_R_94,Nalt,SON2_015
0.00997771508991718,0.00231058802455664,0.0142327761277556,0.00441479869186878,-0.00259788264520466,0.00608550198376179,Cerebelum_Crus2_R_94,Nalt,SON2_016
-0.0127162812277675,-0.0220419466495514,-0.0373472459614277,-0.018189599737525,-0.0179161764681339,-0.0212222170084715,Cerebelum_Crus2_R_94,Nalt,SON2_017
-0.0175401996821165,-0.00340199191123247,0.00256939418613911,0.000873974233400077,-0.0112205371260643,-0.013410983607173,Cerebelum_Crus2_R_94,Nalt,SON2_018
0.0207862034440041,0.0373942703008652,0.0125953918322921,0.00529293296858668,0.0159120615571737,0.0123075759038329,Cerebelum_Crus2_R_94,Nalt,SON2_019
-0.0342805348336697,-0.0377577617764473,-0.0467253625392914,-0.0329259932041168,-0.0421268530189991,-0.0385379418730736,Cerebelum_Crus2_R_94,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Cerebelum_Crus2_R_94,Nalt,SON2_022
-0.010204684920609,0.00582722760736942,0.00668812915682793,0.00455430941656232,0.0151934046298265,0.00861243344843388,Cerebelum_Crus2_R_94,Nalt,SON2_023
-0.0267326422035694,-0.0157039985060692,-0.021711491048336,-0.0333922058343887,-0.0242379251867533,-0.0210416633635759,Cerebelum_Crus2_R_94,Nalt,SON2_024
-0.0035492992028594,-0.0172481574118137,-0.0106563381850719,-0.00989469420164824,-0.00382933765649796,-0.00987040530890226,Cerebelum_Crus2_R_94,Nalt,SON2_025
