u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0491524301469326,-0.0375136323273182,-0.0425809249281883,-0.0410843417048454,-0.019361462444067,-0.0367930084466934,Cingulum_Ant_L_31,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Cingulum_Ant_L_31,Nalt,SON2_003
0.00209531164728105,-0.00560414139181376,-0.0083158602938056,-0.00156859867274761,-0.00985303334891796,-0.00573780434206128,Cingulum_Ant_L_31,Nalt,SON2_004
-0.034478060901165,-0.0152912260964513,-0.0135890711098909,-0.00642869155853987,-0.0268132872879505,-0.00943958945572376,Cingulum_Ant_L_31,Nalt,SON2_005
-0.0239570513367653,-0.03150499984622,-0.0209739971905947,-0.0215719975531101,-0.0378473252058029,-0.0188772287219763,Cingulum_Ant_L_31,Nalt,SON2_006
-0.0266934894025326,-0.0155435334891081,-0.0163542367517948,-0.00382045400328934,-0.00685256719589233,-0.0138199897482991,Cingulum_Ant_L_31,Nalt,SON2_008
-0.00888666044920683,-0.00379805127158761,-0.0137943411245942,-0.0115726534277201,-0.0120435366407037,-0.0162024274468422,Cingulum_Ant_L_31,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Cingulum_Ant_L_31,Nalt,SON2_010
0.00950901117175817,0.0227468311786652,0.0167955085635185,0.0094433706253767,0.00549881206825376,0.0170453507453203,Cingulum_Ant_L_31,Nalt,SON2_011
-0.0082423398271203,-0.0266588795930147,-0.00142192025668919,-0.00523682264611125,0.00700542889535427,-0.0106132421642542,Cingulum_Ant_L_31,Nalt,SON2_012
0.0031204919796437,0.020573141053319,0.0130354687571526,0.0111587196588516,0.0153468670323491,-0.00249531911686063,Cingulum_Ant_L_31,Nalt,SON2_013
-0.000838744163047522,0.0040809279307723,0.00790414027869701,0.00848208740353584,0.0118866050615907,0.00848912727087736,Cingulum_Ant_L_31,Nalt,SON2_014
-0.00845907349139452,-0.0038003446534276,0.0124358395114541,-0.00385044398717582,0.00140974426176399,0.00445565348491073,Cingulum_Ant_L_31,Nalt,SON2_015
-0.0129811875522137,-0.0122523987665772,-0.00734152691438794,-0.00779632898047566,-0.0167611837387085,-0.0141630852594972,Cingulum_Ant_L_31,Nalt,SON2_016
-0.0309322252869606,-0.0385692715644836,-0.0375917479395866,-0.0232335273176432,-0.0180399585515261,-0.0343226231634617,Cingulum_Ant_L_31,Nalt,SON2_017
-0.017417972907424,-0.028722420334816,-0.0307688135653734,0.00357933482155204,-0.0208861418068409,-0.0247724447399378,Cingulum_Ant_L_31,Nalt,SON2_018
0.00330208824016154,0.011812879703939,0.00803680159151554,0.0116557804867625,0.00843924283981323,0.0189612843096256,Cingulum_Ant_L_31,Nalt,SON2_019
0.00931127369403839,0.0102182012051344,0.00490434747189283,0.011242457665503,0.00991122703999281,0.00595556758344173,Cingulum_Ant_L_31,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Cingulum_Ant_L_31,Nalt,SON2_022
-0.0202839709818363,-0.0181373190134764,-0.0272751729935408,-0.0216467287391424,-0.0140421940013766,-0.0152068668976426,Cingulum_Ant_L_31,Nalt,SON2_023
-0.0231729857623577,-0.0111933425068855,-0.0184419769793749,-0.0165430828928947,-0.00655600754544139,-0.0123800979927182,Cingulum_Ant_L_31,Nalt,SON2_024
-0.00124860415235162,-0.00987529195845127,-0.00734750181436539,-0.000858314684592187,0.00343891768716276,-0.00560794537886977,Cingulum_Ant_L_31,Nalt,SON2_025
