u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0879117324948311,-0.101906627416611,-0.0901898071169853,-0.0715348348021507,-0.0511577315628529,-0.068356953561306,Cuneus_L_45,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Cuneus_L_45,Nalt,SON2_003
-0.06795684248209,-0.0853399112820625,-0.0915099084377289,-0.0733267664909363,-0.0635250881314278,-0.0779587179422379,Cuneus_L_45,Nalt,SON2_004
-0.096263512969017,-0.0648239031434059,-0.0691288262605667,-0.070434182882309,-0.0903400108218193,-0.0670138522982597,Cuneus_L_45,Nalt,SON2_005
-0.0453403256833553,-0.0608860179781914,-0.052427664399147,-0.0756656602025032,-0.0634682476520538,-0.0691076591610909,Cuneus_L_45,Nalt,SON2_006
-0.0555771924555302,-0.0397555455565453,-0.0442619509994984,-0.024795887991786,-0.0289368201047182,-0.038109827786684,Cuneus_L_45,Nalt,SON2_008
-0.0493804141879082,-0.0582291148602962,-0.0606337562203407,-0.0490806251764297,-0.0389305055141449,-0.0524912215769291,Cuneus_L_45,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Cuneus_L_45,Nalt,SON2_010
-0.020304698497057,-0.00362284784205258,-0.0193891618400812,-0.0193352457135916,-0.0178667549043894,-0.0170166771858931,Cuneus_L_45,Nalt,SON2_011
-0.0235139727592468,-0.0381812825798988,-0.025129770860076,-0.00999005045741796,-0.00890759192407131,-0.0310863759368658,Cuneus_L_45,Nalt,SON2_012
-0.0119370445609093,-0.0157405249774456,-0.000278019782854244,-0.0228528697043657,-0.00135983317159116,-0.0309228152036667,Cuneus_L_45,Nalt,SON2_013
0.0117875440046191,0.0139574408531189,0.0137933250516653,0.0182822104543447,0.0196747779846191,0.00857910420745611,Cuneus_L_45,Nalt,SON2_014
-0.04453294724226,-0.0521756112575531,-0.0517728626728058,-0.0566548071801662,-0.0464963130652905,-0.039046011865139,Cuneus_L_45,Nalt,SON2_015
-0.0727297887206078,-0.0982017889618874,-0.0671328455209732,-0.0559024624526501,-0.0735021159052849,-0.0894812196493149,Cuneus_L_45,Nalt,SON2_016
-0.068546362221241,-0.0715231224894524,-0.0724220797419548,-0.0635637864470482,-0.0498297102749348,-0.064970999956131,Cuneus_L_45,Nalt,SON2_017
0.00811972003430128,-0.014550163410604,0.00634647905826569,0.0236782189458609,0.00434811459854245,0.00460996059700847,Cuneus_L_45,Nalt,SON2_018
0.0301410760730505,0.0438958331942558,0.0229077246040106,0.0201828088611364,0.0372874960303307,0.0444828979671001,Cuneus_L_45,Nalt,SON2_019
-0.0292454790323973,-0.0196786504238844,-0.0255373790860176,-0.00406623678281903,-0.00874819792807102,-0.0185334365814924,Cuneus_L_45,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Cuneus_L_45,Nalt,SON2_022
-0.00567543087527156,-0.019442206248641,-0.0208673551678658,-0.0021268050186336,0.011410690844059,0.00973777379840612,Cuneus_L_45,Nalt,SON2_023
-0.0262225922197104,-0.0100321266800165,-0.00796651188284159,-0.000171823397977278,0.00124536384828389,0.00592081528156996,Cuneus_L_45,Nalt,SON2_024
-0.0527753382921219,-0.0534560196101665,-0.0292870327830315,-0.0322811268270016,-0.0438292548060417,-0.0462858192622662,Cuneus_L_45,Nalt,SON2_025
