u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
0.00227888906374574,-0.0170559324324131,-0.00941518973559141,0.0117062414065003,0.00470946449786425,-0.0155308451503515,Frontal_Inf_Orb_R_16,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Inf_Orb_R_16,Nalt,SON2_003
-0.030784023925662,-0.0566867105662823,-0.0533490851521492,-0.0275081302970648,-0.048901155591011,-0.0329110100865364,Frontal_Inf_Orb_R_16,Nalt,SON2_004
-0.0245053190737963,0.0105690825730562,0.0193847138434649,0.00738137075677514,-0.0201805289834738,0.00521387625485659,Frontal_Inf_Orb_R_16,Nalt,SON2_005
-0.00729376450181007,-0.00949559174478054,0.00549938902258873,0.0152486218139529,-0.0097628328949213,-0.00941831339150667,Frontal_Inf_Orb_R_16,Nalt,SON2_006
-0.000590690586250275,0.0134414760395885,0.00834023114293814,0.00200938526540995,0.00396652799099684,-0.00228347000665963,Frontal_Inf_Orb_R_16,Nalt,SON2_008
-0.00664399145171046,-0.00949439685791731,-0.00794104486703873,-0.0227059926837683,-0.00531866820529103,-0.0279580038040876,Frontal_Inf_Orb_R_16,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Inf_Orb_R_16,Nalt,SON2_010
-0.0180828422307968,-0.0176892131567001,-0.0146062821149826,-0.00835737306624651,-0.00961744505912066,-0.0137050235643983,Frontal_Inf_Orb_R_16,Nalt,SON2_011
-0.0190388225018978,-0.0359240993857384,-0.0196505859494209,-0.0256306789815426,-0.0185135882347822,-0.0202157162129879,Frontal_Inf_Orb_R_16,Nalt,SON2_012
-0.00737828714773059,0.00760652264580131,-0.00270796706900001,-4.92849503643811e-05,-0.0137837314978242,-0.0133308414369822,Frontal_Inf_Orb_R_16,Nalt,SON2_013
-0.0107521982863545,-0.0151585740968585,0.000796102453023195,-0.00574869196861982,-0.000636583776213229,0.000954443763475865,Frontal_Inf_Orb_R_16,Nalt,SON2_014
0.0141900973394513,0.00941118039190769,0.0191960800439119,0.0149089265614748,0.0286536850035191,0.0199768263846636,Frontal_Inf_Orb_R_16,Nalt,SON2_015
0.046843059360981,0.0378987900912762,0.0384377017617226,0.0132425343617797,0.0118929855525494,0.0136747313663363,Frontal_Inf_Orb_R_16,Nalt,SON2_016
-0.0348292887210846,-0.0441176220774651,-0.0453999042510986,-0.0290129743516445,-0.0439712703227997,-0.0441089160740376,Frontal_Inf_Orb_R_16,Nalt,SON2_017
-0.0175336115062237,-0.0270351488143206,-0.0261806063354015,-0.0138277160003781,-0.0169006139039993,-0.0223906487226486,Frontal_Inf_Orb_R_16,Nalt,SON2_018
-0.00306497560814023,0.00716071296483278,0.00285823340527713,-0.00730296783149242,-0.00335570843890309,0.00608125329017639,Frontal_Inf_Orb_R_16,Nalt,SON2_019
-0.00162102829199284,-0.0013221389381215,-0.00313714426010847,0.00138381007127464,0.000504215830005705,0.00284155178815126,Frontal_Inf_Orb_R_16,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Inf_Orb_R_16,Nalt,SON2_022
-0.0105675244703889,0.00253464095294476,0.00116724381223321,-0.0147450547665358,-0.012651028111577,0.00354127283208072,Frontal_Inf_Orb_R_16,Nalt,SON2_023
-0.0037534621078521,0.00167966273147613,-0.00138848356436938,-0.002424081787467,-0.0138329789042473,-0.0186913423240185,Frontal_Inf_Orb_R_16,Nalt,SON2_024
-0.0102572571486235,-0.014470768161118,-0.0189748164266348,-0.00992124620825052,-0.00992136262357235,-0.00591889210045338,Frontal_Inf_Orb_R_16,Nalt,SON2_025
