u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0230034776031971,-0.0387074761092663,-0.034724697470665,-0.0158364716917276,-0.00871420465409756,-0.0436832755804062,Frontal_Inf_Tri_R_14,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Inf_Tri_R_14,Nalt,SON2_003
-0.0225878842175007,-0.0192429479211569,-0.0453183464705944,-0.0336691960692406,-0.0427511185407639,-0.0445793569087982,Frontal_Inf_Tri_R_14,Nalt,SON2_004
-0.0675429701805115,-0.0299449898302555,-0.0140947680920362,-0.0160432457923889,-0.0511406920850277,-0.0256510674953461,Frontal_Inf_Tri_R_14,Nalt,SON2_005
-0.0124228643253446,0.000892312556970865,0.00155560544226319,0.0195701438933611,-0.0353358313441277,-0.00379367033019662,Frontal_Inf_Tri_R_14,Nalt,SON2_006
-0.0120652383193374,-0.00475427228957415,-0.0152950463816524,-0.0150923188775778,-0.0123925236985087,-0.0124852946028113,Frontal_Inf_Tri_R_14,Nalt,SON2_008
-0.0314721502363682,-0.00985181238502264,-0.0290202237665653,-0.00675641978159547,-0.015755532309413,-0.0171107668429613,Frontal_Inf_Tri_R_14,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Inf_Tri_R_14,Nalt,SON2_010
0.012913235463202,0.0192637089639902,0.0106719881296158,-0.00283708004280925,0.0131370248273015,0.00654630223289132,Frontal_Inf_Tri_R_14,Nalt,SON2_011
0.0223772879689932,0.0111602460965514,0.0258999578654766,0.0107346633449197,0.0211484301835299,0.0267705079168081,Frontal_Inf_Tri_R_14,Nalt,SON2_012
-0.015167698264122,0.000866737624164671,-0.0199533682316542,-0.00230003567412496,-0.0280884653329849,-0.0257831644266844,Frontal_Inf_Tri_R_14,Nalt,SON2_013
0.0124198431149125,0.0146588897332549,0.0316726602613926,0.021775808185339,0.0299829561263323,0.0352328754961491,Frontal_Inf_Tri_R_14,Nalt,SON2_014
0.015703497454524,0.00503699341788888,0.0132817951962352,0.000992054236121476,0.0200884155929089,0.0135005125775933,Frontal_Inf_Tri_R_14,Nalt,SON2_015
0.0494282208383083,0.0375573039054871,0.0274070091545582,0.0392832905054092,0.0299094524234533,0.0439501740038395,Frontal_Inf_Tri_R_14,Nalt,SON2_016
-0.0429464466869831,-0.0595687590539455,-0.0470876097679138,-0.0326663888990879,-0.0432878546416759,-0.0514071695506573,Frontal_Inf_Tri_R_14,Nalt,SON2_017
-0.0163067989051342,-0.0308713149279356,-0.0228458624333143,-0.000327849469613284,-0.0171951819211245,-0.0414533577859402,Frontal_Inf_Tri_R_14,Nalt,SON2_018
0.0211629457771778,0.0352695100009441,0.0335483029484749,0.0341841392219067,0.0269806627184153,0.0364337489008904,Frontal_Inf_Tri_R_14,Nalt,SON2_019
0.000266577961156145,0.00401791417971253,-0.00724114151671529,-0.001662228256464,-0.00747132021933794,-0.00657811248674989,Frontal_Inf_Tri_R_14,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Inf_Tri_R_14,Nalt,SON2_022
-0.0172286201268435,-0.0083091426640749,-0.0169656313955784,-0.0112495562061667,-0.00288271741010249,0.00432071834802628,Frontal_Inf_Tri_R_14,Nalt,SON2_023
-0.0359946340322495,-0.0364505983889103,-0.0240803677588701,-0.0127427810803056,-0.0140824187546968,-0.00929553434252739,Frontal_Inf_Tri_R_14,Nalt,SON2_024
-0.0230288933962584,-0.0171624794602394,-0.0251734759658575,-0.0240668151527643,-0.0149054760113358,-0.00829928554594517,Frontal_Inf_Tri_R_14,Nalt,SON2_025
