u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0480433776974678,-0.0775713846087456,-0.0641234740614891,-0.0294469315558672,-0.0255158711224794,-0.0425009652972221,Frontal_Latx_Orb_L_9,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Latx_Orb_L_9,Nalt,SON2_003
-0.0339004881680012,-0.0502530261874199,-0.0515854880213737,-0.0286362618207932,-0.0409375764429569,-0.0233492124825716,Frontal_Latx_Orb_L_9,Nalt,SON2_004
-0.00401772279292345,0.0110069112852216,0.00809933617711067,0.0134385479614139,-0.00746211363002658,0.00623833201825619,Frontal_Latx_Orb_L_9,Nalt,SON2_005
-0.0229152664542198,-0.029769591987133,-0.0213024355471134,-0.0171381030231714,-0.044308640062809,-0.02803167514503,Frontal_Latx_Orb_L_9,Nalt,SON2_006
-0.0488991662859917,-0.0441967621445656,-0.0298309959471226,-0.0387618541717529,-0.0238655339926481,-0.0261314697563648,Frontal_Latx_Orb_L_9,Nalt,SON2_008
-0.0172765087336302,-0.0105773685500026,-0.0171617604792118,-0.0233485754579306,-0.0101393926888704,-0.0279803909361362,Frontal_Latx_Orb_L_9,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Latx_Orb_L_9,Nalt,SON2_010
-0.0106107778847218,-0.0179143529385328,-0.00449175853282213,-0.00773946102708578,-0.0105800349265337,-0.00902898516505957,Frontal_Latx_Orb_L_9,Nalt,SON2_011
-0.0182068012654781,-0.042053397744894,-0.0271360147744417,-0.0101470444351435,-0.00686436844989657,-0.0183902662247419,Frontal_Latx_Orb_L_9,Nalt,SON2_012
-0.0278466381132603,-0.0240001827478409,-0.0254223700612783,-0.0296489149332047,-0.0228892937302589,-0.0403737910091877,Frontal_Latx_Orb_L_9,Nalt,SON2_013
-0.0275290701538324,-0.0240300539880991,-0.0133368372917175,-0.0197496246546507,-0.0125101506710052,-0.0107356403023005,Frontal_Latx_Orb_L_9,Nalt,SON2_014
-0.00461944844573736,-0.0153726674616337,-0.00289080734364688,-0.0180754587054253,-0.0177752077579498,-0.00762836914509535,Frontal_Latx_Orb_L_9,Nalt,SON2_015
-0.00856004003435373,-0.0127376671880484,-0.00460270419716835,-0.00489407684653997,-0.0220713224261999,-0.00694186519831419,Frontal_Latx_Orb_L_9,Nalt,SON2_016
-0.0367801487445831,-0.059564083814621,-0.0554410852491856,-0.036187719553709,-0.0405142605304718,-0.0340951345860958,Frontal_Latx_Orb_L_9,Nalt,SON2_017
-0.0232254136353731,-0.0277150645852089,-0.0382175482809544,-0.0116909174248576,-0.0226781088858843,-0.0319949947297573,Frontal_Latx_Orb_L_9,Nalt,SON2_018
-0.0155137376859784,-0.00230468274094164,-0.0167386271059513,-0.00303896283730865,0.00401160353794694,0.000316786667099223,Frontal_Latx_Orb_L_9,Nalt,SON2_019
0.00811576005071402,0.0054512950591743,0.00632934551686049,0.0115319481119514,0.00576636753976345,0.0145736448466778,Frontal_Latx_Orb_L_9,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Latx_Orb_L_9,Nalt,SON2_022
-0.0188479740172625,-0.0209906026721001,-0.0161413513123989,-0.0131986560299993,-0.00777155347168446,-0.00303058139979839,Frontal_Latx_Orb_L_9,Nalt,SON2_023
-0.0345000922679901,-0.0206330232322216,-0.0299594327807426,-0.0336127877235413,-0.025956317782402,-0.0346661396324635,Frontal_Latx_Orb_L_9,Nalt,SON2_024
-0.0344666764140129,-0.0480570942163467,-0.0513305477797985,-0.042603112757206,-0.0284549314528704,-0.0207244157791138,Frontal_Latx_Orb_L_9,Nalt,SON2_025
