u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0491333045065403,-0.0701651200652122,-0.054975263774395,-0.0310156159102917,-0.0167535282671452,-0.0439599752426147,Frontal_Mid_L_7,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Mid_L_7,Nalt,SON2_003
-0.034116618335247,-0.0476326085627079,-0.0600349940359592,-0.0433340966701508,-0.0519087947905064,-0.0404840409755707,Frontal_Mid_L_7,Nalt,SON2_004
-0.0349159054458141,-0.00403520930558443,-0.00808207783848047,-0.00280301971361041,-0.0330426171422005,-0.012515539303422,Frontal_Mid_L_7,Nalt,SON2_005
-0.0217942837625742,-0.0263711847364902,-0.0210040789097548,-0.0122340330854058,-0.0428964272141457,-0.0227612126618624,Frontal_Mid_L_7,Nalt,SON2_006
-0.0389836728572845,-0.0245736241340637,-0.0253853034228086,-0.0177823007106781,-0.0129112657159567,-0.0168607514351606,Frontal_Mid_L_7,Nalt,SON2_008
-0.0147343100979924,-0.00110722228419036,-0.0152395106852055,-0.018670666962862,-0.0136387636885047,-0.0114504545927048,Frontal_Mid_L_7,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Mid_L_7,Nalt,SON2_010
-0.0024857958778739,-0.00137651548720896,0.000370456895325333,0.00490438845008612,-0.00708339549601078,0.00507208332419395,Frontal_Mid_L_7,Nalt,SON2_011
-0.0160704180598259,-0.0306504443287849,-0.0155032649636269,-0.0027204449288547,0.00862912833690643,-0.0125414365902543,Frontal_Mid_L_7,Nalt,SON2_012
-0.0170569531619549,-0.0106908986344934,-0.0143611989915371,-0.0164524372667074,-0.00166544690728188,-0.0221103504300117,Frontal_Mid_L_7,Nalt,SON2_013
-0.0180628523230553,-0.010547898709774,-0.000918267644010484,-0.00749323749914765,0.00887623336166143,0.0144978864118457,Frontal_Mid_L_7,Nalt,SON2_014
-0.000598091341089457,-0.0138374837115407,0.00270308251492679,-0.0158405359834433,0.00172948115505278,0.00523629691451788,Frontal_Mid_L_7,Nalt,SON2_015
-0.00574340298771858,-0.0129342395812273,0.0007151341997087,-0.00458394922316074,-0.0248023737221956,-0.00836100801825523,Frontal_Mid_L_7,Nalt,SON2_016
-0.0321852751076221,-0.0543424002826214,-0.0492090061306953,-0.0268802642822266,-0.0320683754980564,-0.0405956469476223,Frontal_Mid_L_7,Nalt,SON2_017
-0.0238944534212351,-0.0200657341629267,-0.016839450225234,-0.00828185025602579,-0.0166793689131737,-0.0245536174625158,Frontal_Mid_L_7,Nalt,SON2_018
0.00690201623365283,0.023113576695323,0.0194482132792473,0.0160033758729696,0.0193456634879112,0.0198350455611944,Frontal_Mid_L_7,Nalt,SON2_019
0.00405980227515101,0.000893383810762316,-0.00239735981449485,0.00825729127973318,0.00314974994398654,-0.00487926509231329,Frontal_Mid_L_7,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Mid_L_7,Nalt,SON2_022
-0.0241437144577503,-0.0206592734903097,-0.0295693576335907,-0.0208881106227636,-0.00374667136929929,-0.00521446298807859,Frontal_Mid_L_7,Nalt,SON2_023
-0.0287247095257044,-0.0210760496556759,-0.0227778181433678,-0.0227143093943596,-0.0139188589528203,-0.0184937790036201,Frontal_Mid_L_7,Nalt,SON2_024
-0.00496479962021112,-0.0218233577907085,-0.0190173201262951,-0.0159358959645033,-0.00686594843864441,-0.0100108124315739,Frontal_Mid_L_7,Nalt,SON2_025
