u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0445152223110199,-0.0623018443584442,-0.0498502366244793,-0.0386795811355114,-0.031870175153017,-0.0582754723727703,Frontal_Mid_R_8,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Mid_R_8,Nalt,SON2_003
-0.0255299415439367,-0.0403721258044243,-0.0509888231754303,-0.0313452742993832,-0.0488898120820522,-0.0375088155269623,Frontal_Mid_R_8,Nalt,SON2_004
-0.0747369304299355,-0.047059178352356,-0.0312172062695026,-0.0300322342664003,-0.0508226864039898,-0.0432696528732777,Frontal_Mid_R_8,Nalt,SON2_005
-0.0231878217309713,-0.0216070134192705,-0.0122602488845587,-0.010945700109005,-0.0394499599933624,-0.0284031499177217,Frontal_Mid_R_8,Nalt,SON2_006
-0.0192257333546877,-0.00637183804064989,-0.0103736501187086,-0.00203768815845251,-0.0109684029594064,-0.0122459586709738,Frontal_Mid_R_8,Nalt,SON2_008
-0.03069774992764,-0.0161852706223726,-0.0278763826936483,-0.0203784517943859,-0.0214656256139278,-0.0260232891887426,Frontal_Mid_R_8,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Mid_R_8,Nalt,SON2_010
-0.00305445957928896,-0.00113081408198923,-0.00230527576059103,-0.00373692275024951,-0.010147106833756,-0.00198828824795783,Frontal_Mid_R_8,Nalt,SON2_011
-0.0289429482072592,-0.0401752255856991,-0.026278167963028,-0.0265973005443811,-0.0167292784899473,-0.0237335655838251,Frontal_Mid_R_8,Nalt,SON2_012
-0.0082267802208662,0.00379313877783716,-0.0109755173325539,0.00167396862525493,-0.00931598152965307,-0.0187843851745129,Frontal_Mid_R_8,Nalt,SON2_013
-0.0034516619052738,-0.00594654818996787,0.00940169859677553,0.00666029937565327,0.0130248926579952,0.0182332545518875,Frontal_Mid_R_8,Nalt,SON2_014
-0.00957511737942696,-0.0172492880374193,-0.0131576964631677,-0.0181708764284849,0.00171080860309303,-0.00204630778171122,Frontal_Mid_R_8,Nalt,SON2_015
-0.00657569756731391,-0.0102538457140326,-0.00929496437311172,-0.002996631199494,-0.0109954597428441,-0.00694864196702838,Frontal_Mid_R_8,Nalt,SON2_016
-0.0363086201250553,-0.0521039292216301,-0.0416069105267525,-0.0266154576092958,-0.0336294956505299,-0.0506029352545738,Frontal_Mid_R_8,Nalt,SON2_017
-0.0227052178233862,-0.01300357747823,-0.0241453722119331,-0.0089045986533165,-0.0123158302158117,-0.0260727852582932,Frontal_Mid_R_8,Nalt,SON2_018
0.00312915584072471,0.0173849985003471,0.0118165267631412,0.00621426338329911,0.00447204289957881,0.0137984454631805,Frontal_Mid_R_8,Nalt,SON2_019
-0.00736914295703173,-0.011021614074707,-0.0147773306816816,-0.001486511901021,-0.00310229975730181,-0.0134234605357051,Frontal_Mid_R_8,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Mid_R_8,Nalt,SON2_022
-0.0213037263602018,-0.0156102832406759,-0.0319223552942276,-0.0251394100487232,-0.0126188015565276,-0.00260237650945783,Frontal_Mid_R_8,Nalt,SON2_023
-0.0566639192402363,-0.0488717705011368,-0.0469046980142593,-0.0382215231657028,-0.0293052811175585,-0.0384384244680405,Frontal_Mid_R_8,Nalt,SON2_024
-0.00400019669905305,-0.0184584558010101,-0.0171281136572361,-0.0114924106746912,-0.00538087915629148,-0.00353267486207187,Frontal_Mid_R_8,Nalt,SON2_025
