u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0365457162261009,-0.0307879745960236,-0.032314658164978,-0.0237296707928181,-0.00297081144526601,-0.0242072753608227,Frontal_Sup_Medial_L_23,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_Medial_L_23,Nalt,SON2_003
-0.00358457746915519,-0.0129751637578011,-0.0125717846676707,-0.00350139057263732,-0.0162646360695362,-0.00946389604359865,Frontal_Sup_Medial_L_23,Nalt,SON2_004
-0.0390741527080536,-0.019455274567008,-0.0187349356710911,-0.0088011147454381,-0.0294810272753239,-0.0136817721650004,Frontal_Sup_Medial_L_23,Nalt,SON2_005
-0.0268637500703335,-0.0321939177811146,-0.0229529999196529,-0.0219461414963007,-0.0379965007305145,-0.0219400767236948,Frontal_Sup_Medial_L_23,Nalt,SON2_006
-0.0223678629845381,-0.0202816501259804,-0.017437007278204,-0.00830994918942451,-0.0130901662632823,-0.0177276507019997,Frontal_Sup_Medial_L_23,Nalt,SON2_008
-0.0125991702079773,-0.00752514461055398,-0.0169692821800709,-0.0158511959016323,-0.00883426051586866,-0.0233622863888741,Frontal_Sup_Medial_L_23,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_Medial_L_23,Nalt,SON2_010
-0.00155949674081057,0.00488940766081214,0.000798210792709142,0.00581643637269735,-0.008292599581182,0.00422679912298918,Frontal_Sup_Medial_L_23,Nalt,SON2_011
-0.00584738375619054,-0.0306933484971523,-0.00750173861160874,-0.00048780013457872,0.00407372880727053,-0.00711177429184318,Frontal_Sup_Medial_L_23,Nalt,SON2_012
-0.0103576118126512,0.000772964442148805,-0.0027501464355737,-0.0036752640735358,0.00232666428200901,-0.0121218468993902,Frontal_Sup_Medial_L_23,Nalt,SON2_013
0.00638350332155824,0.00729444483295083,0.0111427996307611,0.0114116510376334,0.0150703340768814,0.0126305399462581,Frontal_Sup_Medial_L_23,Nalt,SON2_014
-0.00501564936712384,-0.00557212997227907,0.00476202880963683,-0.00817665364593267,-0.0025683743879199,0.00294680334627628,Frontal_Sup_Medial_L_23,Nalt,SON2_015
0.0046742046251893,0.002927390858531,0.00359427742660046,-0.00058417022228241,-0.0122446306049824,-0.00734233018010855,Frontal_Sup_Medial_L_23,Nalt,SON2_016
-0.0314683616161346,-0.0528212562203407,-0.0508915968239307,-0.0319878049194813,-0.0271299220621586,-0.0433243364095688,Frontal_Sup_Medial_L_23,Nalt,SON2_017
-0.0297711137682199,-0.0290366411209106,-0.0379200242459774,-0.0197238456457853,-0.0181751120835543,-0.0377155914902687,Frontal_Sup_Medial_L_23,Nalt,SON2_018
0.0153816267848015,0.0323613658547401,0.0247817877680063,0.0173282455652952,0.0120549807325006,0.0214184485375881,Frontal_Sup_Medial_L_23,Nalt,SON2_019
0.0104521391913295,0.00814988650381565,0.00557886064052582,0.0125353811308742,0.00947563350200653,0.00296006724238396,Frontal_Sup_Medial_L_23,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_Medial_L_23,Nalt,SON2_022
-0.00777241960167885,-2.51577912422363e-05,-0.00973774772137403,-0.0117706740275025,-0.00450271274894476,-0.000970683700870723,Frontal_Sup_Medial_L_23,Nalt,SON2_023
-0.0247385073453188,-0.0124352127313614,-0.0216536484658718,-0.018555661663413,-0.00553090777248144,-0.0147770997136831,Frontal_Sup_Medial_L_23,Nalt,SON2_024
0.00819995068013668,0.00660915020853281,0.0026928773149848,0.00502950977534056,0.00673086103051901,0.00911142956465483,Frontal_Sup_Medial_L_23,Nalt,SON2_025
