u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0146597232669592,-0.0171542502939701,-0.010011144913733,0.00170447467826307,-0.00336721446365118,-0.0120707424357533,Frontal_Sup_Medial_R_24,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_Medial_R_24,Nalt,SON2_003
0.00264151720330119,0.000663223385345191,0.0129217430949211,0.00448034284636378,0.000570442236494273,0.00416107662022114,Frontal_Sup_Medial_R_24,Nalt,SON2_004
-0.0235265698283911,-0.00214454694651067,0.00910888984799385,0.00491948146373034,-0.0165023598819971,-0.00993861351162195,Frontal_Sup_Medial_R_24,Nalt,SON2_005
-0.0216049551963806,-0.0232165157794952,-0.0125656928867102,-0.00753596937283874,-0.0310567431151867,-0.0224672090262175,Frontal_Sup_Medial_R_24,Nalt,SON2_006
-0.0488030314445496,-0.0332553386688232,-0.0374644547700882,-0.0311802681535482,-0.0349756479263306,-0.0366151370108128,Frontal_Sup_Medial_R_24,Nalt,SON2_008
-0.0130233420059085,-0.0149676259607077,-0.018540482968092,-0.021396093070507,-0.0137122767046094,-0.0276611763983965,Frontal_Sup_Medial_R_24,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_Medial_R_24,Nalt,SON2_010
-0.0156695563346148,-0.0156347248703241,-0.01429115049541,-0.0171199887990952,-0.0204221736639738,-0.00804069358855486,Frontal_Sup_Medial_R_24,Nalt,SON2_011
-0.0077667604200542,-0.0255284328013659,-0.012906676158309,-0.0147532094269991,0.00569454999640584,-0.00743627967312932,Frontal_Sup_Medial_R_24,Nalt,SON2_012
-0.00592157756909728,0.01371955499053,-0.00165828608442098,-0.00495392922312021,0.00357037037611008,-0.00257676187902689,Frontal_Sup_Medial_R_24,Nalt,SON2_013
-0.0049926140345633,-9.44688435993157e-05,-0.00394926313310862,9.67996238614433e-05,-0.00347026577219367,-0.0012477912241593,Frontal_Sup_Medial_R_24,Nalt,SON2_014
-0.00725454278290272,-0.0124901738017797,-0.00858230888843536,-0.0263125747442245,-0.0125618521124125,-0.0183713287115097,Frontal_Sup_Medial_R_24,Nalt,SON2_015
-0.000146347942063585,-0.0157206803560257,-0.00457898341119289,0.00130262458696961,-0.0194398369640112,-0.014005396515131,Frontal_Sup_Medial_R_24,Nalt,SON2_016
-0.0118795093148947,-0.00574327912181616,-0.0202098470181227,-0.00443722074851394,-0.0125965289771557,-0.0188120007514954,Frontal_Sup_Medial_R_24,Nalt,SON2_017
-0.0153389731422067,-0.0202866587787867,-0.0140472091734409,-0.00453602476045489,-0.0208361186087132,-0.0196679085493088,Frontal_Sup_Medial_R_24,Nalt,SON2_018
0.0314671024680138,0.043427187949419,0.0323654599487782,0.0234911367297173,0.0170231889933348,0.0242908336222172,Frontal_Sup_Medial_R_24,Nalt,SON2_019
0.00302230869419873,0.00889664981514215,-0.00135387922637165,0.00737297721207142,0.00585776381194592,-0.000343294173944741,Frontal_Sup_Medial_R_24,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_Medial_R_24,Nalt,SON2_022
0.000156334135681391,0.00264291558414698,-0.0101906424388289,-0.0168819278478622,-0.00140525808092207,0.00236575701273978,Frontal_Sup_Medial_R_24,Nalt,SON2_023
-0.0542856976389885,-0.0431621633470058,-0.0452703423798084,-0.045163668692112,-0.0326875671744347,-0.0522713884711266,Frontal_Sup_Medial_R_24,Nalt,SON2_024
0.0145658710971475,0.00660796975716949,-0.000467372126877308,0.0137803014367819,0.0086748693138361,0.00599243165925145,Frontal_Sup_Medial_R_24,Nalt,SON2_025
