u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0435849949717522,-0.0685759484767914,-0.0615884587168694,-0.0479530245065689,-0.0459597930312157,-0.0609535872936249,Frontal_Sup_Orb_R_6,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_Orb_R_6,Nalt,SON2_003
-0.014696454629302,-0.0210935324430466,-0.0249157510697842,-0.0149387363344431,-0.0180506482720375,-0.0152602642774582,Frontal_Sup_Orb_R_6,Nalt,SON2_004
-0.00971628166735172,0.0044702272862196,0.00363010820001364,0.00358418398536742,-0.00399990426376462,-0.00173033273313195,Frontal_Sup_Orb_R_6,Nalt,SON2_005
-0.0183182824403048,-0.0121953645721078,-0.0122636957094073,-0.00578299490734935,-0.0221019592136145,-0.0211611613631248,Frontal_Sup_Orb_R_6,Nalt,SON2_006
-0.00138298620004207,0.00426913378760219,-3.22684827551711e-05,-0.00527225341647863,0.00116856140084565,0.0012370184995234,Frontal_Sup_Orb_R_6,Nalt,SON2_008
-0.0330986455082893,-0.026053674519062,-0.0298988539725542,-0.0341169834136963,-0.0275286715477705,-0.0244793463498354,Frontal_Sup_Orb_R_6,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_Orb_R_6,Nalt,SON2_010
-0.0132427113130689,-0.0160900726914406,-0.00998336263000965,-0.00902890041470528,-0.0156634710729122,-0.00749522587284446,Frontal_Sup_Orb_R_6,Nalt,SON2_011
-0.0202885791659355,-0.0353412479162216,-0.0233046598732471,-0.0165606718510389,-0.0108078317716718,-0.0183153338730335,Frontal_Sup_Orb_R_6,Nalt,SON2_012
-0.00895594339817762,0.00819643493741751,-0.000524953356944025,-0.0017753888387233,-0.00152226840145886,-0.00797283183783293,Frontal_Sup_Orb_R_6,Nalt,SON2_013
-0.00148050487041473,-0.00400929758325219,0.00255054445005953,9.32387192733586e-05,0.0088264187797904,0.0136376470327377,Frontal_Sup_Orb_R_6,Nalt,SON2_014
-0.00101829215418547,-0.00139770924579352,0.00447455933317542,-0.00340991257689893,0.011692252010107,0.00940608885139227,Frontal_Sup_Orb_R_6,Nalt,SON2_015
-0.0203653685748577,-0.0186028908938169,-0.01606728695333,-0.0121471108868718,-0.0237814243882895,-0.0197234861552715,Frontal_Sup_Orb_R_6,Nalt,SON2_016
-0.0123037518933415,-0.0236191637814045,-0.0194555409252644,-0.0178748294711113,-0.0199191048741341,-0.0241327490657568,Frontal_Sup_Orb_R_6,Nalt,SON2_017
-0.00428282376378775,0.00217133900150657,-0.00686553074046969,0.00215858616866171,-0.00401730230078101,-0.0094358716160059,Frontal_Sup_Orb_R_6,Nalt,SON2_018
0.00582952704280615,0.0185361504554749,0.0155402021482587,0.0125906318426132,0.0109451431781054,0.0182246547192335,Frontal_Sup_Orb_R_6,Nalt,SON2_019
0.00511549552902579,0.00501223281025887,0.00192931247875094,0.00171772646717727,0.00465010292828083,0.00597526272758842,Frontal_Sup_Orb_R_6,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_Orb_R_6,Nalt,SON2_022
-0.0142783541232347,-0.0124622732400894,-0.0101688876748085,-0.0101434011012316,-0.00865532550960779,0.000116190953121986,Frontal_Sup_Orb_R_6,Nalt,SON2_023
-0.0227982867509127,-0.0212138947099447,-0.0189240388572216,-0.0124003561213613,-0.0102400863543153,-0.010242578573525,Frontal_Sup_Orb_R_6,Nalt,SON2_024
-0.0180978681892157,-0.0164859648793936,-0.0155449341982603,-0.0144359767436981,-0.00946883670985699,-0.014316170476377,Frontal_Sup_Orb_R_6,Nalt,SON2_025
