u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0520330667495728,-0.0659188628196716,-0.0532734468579292,-0.0517603568732738,-0.0452747419476509,-0.0655425265431404,Frontal_Sup_R_4,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_R_4,Nalt,SON2_003
-0.01656873524189,-0.0231889393180609,-0.0310801882296801,-0.0174109358340502,-0.0328709334135056,-0.0241988264024258,Frontal_Sup_R_4,Nalt,SON2_004
-0.0570873767137527,-0.0355711542069912,-0.0282447207719088,-0.0245624221861362,-0.0386116169393063,-0.0372837856411934,Frontal_Sup_R_4,Nalt,SON2_005
-0.00675395736470819,-0.00482950499281287,0.00575910648331046,0.000779056979808956,-0.0282554477453232,-0.00640303967520595,Frontal_Sup_R_4,Nalt,SON2_006
-0.0213471278548241,-0.0162830613553524,-0.0144007382914424,-0.00492352107539773,-0.0145130511373281,-0.0108337067067623,Frontal_Sup_R_4,Nalt,SON2_008
-0.0354039631783962,-0.0272080395370722,-0.0321194007992744,-0.0258573405444622,-0.0254684928804636,-0.0384296737611294,Frontal_Sup_R_4,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_R_4,Nalt,SON2_010
-0.0102030653506517,-0.000585948524530977,-0.000819761422462761,0.00112682452891022,-0.0200591068714857,0.00181635329499841,Frontal_Sup_R_4,Nalt,SON2_011
-0.0277792848646641,-0.0436984524130821,-0.026928273960948,-0.0234120506793261,-0.00854258611798286,-0.0215685646981001,Frontal_Sup_R_4,Nalt,SON2_012
-0.00480290176346898,0.00602605892345309,-0.0029755502473563,-0.000800283392891288,-0.0013242638669908,-0.00656655384227633,Frontal_Sup_R_4,Nalt,SON2_013
-0.0191522464156151,-0.0228755716234446,-0.00970679149031639,-0.0182477813214064,-0.00337987276725471,-0.00162194529548287,Frontal_Sup_R_4,Nalt,SON2_014
-0.00325914775021374,-0.0141883967444301,-0.00664822291582823,-0.0165470764040947,-0.00377647625282407,-0.0032490435987711,Frontal_Sup_R_4,Nalt,SON2_015
-0.0257820039987564,-0.0304326694458723,-0.0160120595246553,-0.0133857242763042,-0.0212508402764797,-0.0211845338344574,Frontal_Sup_R_4,Nalt,SON2_016
-0.0317019410431385,-0.0495681464672089,-0.0520184449851513,-0.0298850070685148,-0.0373029410839081,-0.0502779707312584,Frontal_Sup_R_4,Nalt,SON2_017
-0.0167676899582148,-0.00948235765099525,-0.0230566784739494,0.00230270158499479,-0.014321512542665,-0.0178544372320175,Frontal_Sup_R_4,Nalt,SON2_018
0.0171135980635881,0.0281287934631109,0.022191533818841,0.0194504056125879,0.019299590960145,0.0295703485608101,Frontal_Sup_R_4,Nalt,SON2_019
0.00825771596282721,0.00544630456715822,0.000907610054127872,0.00899733044207096,0.0100334463641047,0.000610033865086734,Frontal_Sup_R_4,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_R_4,Nalt,SON2_022
-0.0172876007854939,-0.0136428670957685,-0.0206632055342197,-0.0242579858750105,-0.00826746970415115,-0.00360940396785736,Frontal_Sup_R_4,Nalt,SON2_023
-0.0475774556398392,-0.0335526391863823,-0.03735077008605,-0.0241522621363401,-0.0115423435345292,-0.0243746172636747,Frontal_Sup_R_4,Nalt,SON2_024
0.000767911551520228,-0.0141489347442985,-0.016097167506814,-0.0033985513728112,0.00383787299506366,-0.00299448473379016,Frontal_Sup_R_4,Nalt,SON2_025
