u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
0.123385608196259,0.118702575564384,0.119089230895042,0.120474696159363,0.127697989344597,0.129132226109505,Lingual_R_48,Nalt,SON2_001
NaN,NaN,NaN,NaN,NaN,NaN,Lingual_R_48,Nalt,SON2_003
0.107303455471992,0.0942379906773567,0.0896884799003601,0.0836074873805046,0.087481826543808,0.0973548516631126,Lingual_R_48,Nalt,SON2_004
0.104304485023022,0.11449807882309,0.115244947373867,0.107883356511593,0.0836636647582054,0.0998911783099174,Lingual_R_48,Nalt,SON2_005
0.141419321298599,0.148829847574234,0.153996124863625,0.146584019064903,0.129700347781181,0.14635181427002,Lingual_R_48,Nalt,SON2_006
0.0358328856527805,0.0372631587088108,0.0324363559484482,0.0346122793853283,0.0364408828318119,0.0362019203603268,Lingual_R_48,Nalt,SON2_008
0.0813422128558159,0.0785162448883057,0.0659202486276627,0.0687960088253021,0.0658430308103561,0.0532830730080605,Lingual_R_48,Nalt,SON2_009
NaN,NaN,NaN,NaN,NaN,NaN,Lingual_R_48,Nalt,SON2_010
0.0668756291270256,0.0659342557191849,0.0618971474468708,0.0743077471852303,0.0434527918696404,0.0686692222952843,Lingual_R_48,Nalt,SON2_011
0.0346672423183918,0.00827823020517826,0.0296260397881269,0.0287980921566486,0.0341593883931637,0.0144049311056733,Lingual_R_48,Nalt,SON2_012
0.0965264067053795,0.0934983715415001,0.0955552235245705,0.0761803016066551,0.0789526775479317,0.0883280336856842,Lingual_R_48,Nalt,SON2_013
0.117815062403679,0.109814576804638,0.120439536869526,0.121214404702187,0.104848735034466,0.11279733479023,Lingual_R_48,Nalt,SON2_014
0.108476214110851,0.105711944401264,0.0974374413490295,0.0874537602066994,0.0936315581202507,0.0910425037145615,Lingual_R_48,Nalt,SON2_015
0.123893067240715,0.10961627215147,0.103847324848175,0.0913553833961487,0.102765589952469,0.104767225682735,Lingual_R_48,Nalt,SON2_016
0.065370611846447,0.0741026103496552,0.0764889419078827,0.0754859447479248,0.0760346055030823,0.0749555379152298,Lingual_R_48,Nalt,SON2_017
0.00628324644640088,0.000544434180483222,0.00826855935156345,0.0169292818754911,0.00201905937865376,-0.00696303369477391,Lingual_R_48,Nalt,SON2_018
0.068443238735199,0.0879296138882637,0.0759608969092369,0.0670739486813545,0.0507606752216816,0.0697319135069847,Lingual_R_48,Nalt,SON2_019
0.0677512139081955,0.0749474987387657,0.0590115003287792,0.0788796544075012,0.0713823139667511,0.0714671611785889,Lingual_R_48,Nalt,SON2_020
NaN,NaN,NaN,NaN,NaN,NaN,Lingual_R_48,Nalt,SON2_022
0.0769823417067528,0.101005554199219,0.104576118290424,0.0769806876778603,0.0840238407254219,0.101417385041714,Lingual_R_48,Nalt,SON2_023
0.11733914911747,0.113827630877495,0.110658317804337,0.11501831561327,0.104054994881153,0.125464484095573,Lingual_R_48,Nalt,SON2_024
0.186278209090233,0.18046247959137,0.190399795770645,0.187434181571007,0.169576779007912,0.178702116012573,Lingual_R_48,Nalt,SON2_025
