u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0900440216064453,-0.0818185806274414,-0.0824763774871826,-0.0680397003889084,-0.0666179656982422,-0.073139064013958,Cuneus_L_45,Plac,SON2_001
-0.00835324730724096,-0.00844488572329283,-0.00833997875452042,-0.00778465252369642,-0.0106522347778082,0.00405740365386009,Cuneus_L_45,Plac,SON2_003
-0.00800029933452606,-0.0295324195176363,-0.0279719028621912,-0.00544089730829,-0.0102890878915787,-0.0130938431248069,Cuneus_L_45,Plac,SON2_004
-0.0500307157635689,-0.0279373303055763,-0.0465337671339512,-0.0496920049190521,-0.029617914929986,-0.0316156186163425,Cuneus_L_45,Plac,SON2_005
-0.0366684123873711,-0.0344858057796955,-0.0383175015449524,-0.0504418611526489,-0.0632336437702179,-0.0529618412256241,Cuneus_L_45,Plac,SON2_006
-0.0796808376908302,-0.0752836540341377,-0.0818217843770981,-0.0672753751277924,-0.033733069896698,-0.0760683640837669,Cuneus_L_45,Plac,SON2_008
-0.0349497050046921,-0.0323703400790691,-0.0322744883596897,-0.00185964768752456,-0.0073746838606894,-0.00737491715699434,Cuneus_L_45,Plac,SON2_009
-0.0215523447841406,-0.0230924021452665,-0.0248954612761736,-0.0205976702272892,-0.0134373400360346,0.00278113107196987,Cuneus_L_45,Plac,SON2_010
-0.0323139727115631,-0.0466915443539619,-0.0461365655064583,-0.0385352671146393,-0.0130924237892032,-0.0286603327840567,Cuneus_L_45,Plac,SON2_011
-0.0365827083587646,-0.0451918505132198,-0.0473739057779312,-0.0350453555583954,-0.0386731699109077,-0.0533225759863853,Cuneus_L_45,Plac,SON2_012
-0.0346402004361153,-0.0367157571017742,-0.0306320860981941,-0.0191658958792686,-0.00976799614727497,0.00138389831408858,Cuneus_L_45,Plac,SON2_013
0.0179892648011446,0.0260653253644705,-0.000756380846723914,0.00464263651520014,0.0224378891289234,0.0221462156623602,Cuneus_L_45,Plac,SON2_014
-0.0605676062405109,-0.062174130231142,-0.0726157948374748,-0.0504800081253052,-0.0452685244381428,-0.0597132630646229,Cuneus_L_45,Plac,SON2_015
-0.100355744361877,-0.112228840589523,-0.126383572816849,-0.129870235919952,-0.0945987775921822,-0.104936569929123,Cuneus_L_45,Plac,SON2_016
NaN,NaN,NaN,NaN,NaN,NaN,Cuneus_L_45,Plac,SON2_017
-0.0499966628849506,-0.0389699712395668,-0.0467765405774117,-0.038309071213007,-0.0330379530787468,-0.0278805140405893,Cuneus_L_45,Plac,SON2_018
NaN,NaN,NaN,NaN,NaN,NaN,Cuneus_L_45,Plac,SON2_019
-0.00932652875781059,-0.0124770058318973,-0.0202310979366302,0.0130855133756995,-0.0123574174940586,-0.0216362774372101,Cuneus_L_45,Plac,SON2_020
0.000457506976090372,0.00307060242630541,-0.020017309114337,-0.000813323422335088,0.0200376324355602,0.00667827343568206,Cuneus_L_45,Plac,SON2_022
-0.00958270207047462,-0.0100728394463658,-0.0101525420323014,-0.00480614509433508,0.00276908348314464,-0.00116670690476894,Cuneus_L_45,Plac,SON2_023
-0.0554998442530632,-0.0640338137745857,-0.0548009723424911,-0.0511839129030704,-0.0459450520575047,-0.0566999614238739,Cuneus_L_45,Plac,SON2_024
-0.0589815080165863,-0.0747112408280373,-0.068020835518837,-0.0622622147202492,-0.0356622897088528,-0.0556037202477455,Cuneus_L_45,Plac,SON2_025
