u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0839930847287178,-0.0747382715344429,-0.076891265809536,-0.0611657723784447,-0.0607629716396332,-0.0640798583626747,Cuneus_R_46,Plac,SON2_001
-0.00766361318528652,-0.0132700372487307,-0.0126314600929618,-0.0116999847814441,-0.0138939777389169,0.000300837098620832,Cuneus_R_46,Plac,SON2_003
-0.000474837142974138,-0.0158044025301933,-0.014771981164813,-0.00133783952333033,-0.00486321793869138,-0.00197013490833342,Cuneus_R_46,Plac,SON2_004
-0.0380384773015976,-0.0208935234695673,-0.0309806596487761,-0.037532851099968,-0.0205743741244078,-0.0224089808762074,Cuneus_R_46,Plac,SON2_005
-0.0208708234131336,-0.0205715373158455,-0.024859894067049,-0.0371905863285065,-0.0464676804840565,-0.0423781499266624,Cuneus_R_46,Plac,SON2_006
-0.0549284070730209,-0.0557424947619438,-0.0606112852692604,-0.0479317642748356,-0.0202517323195934,-0.046436108648777,Cuneus_R_46,Plac,SON2_008
-0.0105036646127701,-0.0123371388763189,-0.0100585166364908,0.0196810476481915,0.00894009787589312,0.0134639153257012,Cuneus_R_46,Plac,SON2_009
-0.00659042643383145,-0.00625116331502795,-0.0122804846614599,-0.00804035738110542,-0.00447415979579091,0.0122749945148826,Cuneus_R_46,Plac,SON2_010
-0.0300436057150364,-0.0457229353487492,-0.0459841564297676,-0.0370940864086151,-0.0147157683968544,-0.0292546320706606,Cuneus_R_46,Plac,SON2_011
-0.0331489555537701,-0.0372918844223022,-0.0419140979647636,-0.031136017292738,-0.0352958738803864,-0.042458787560463,Cuneus_R_46,Plac,SON2_012
-0.0296133924275637,-0.0306266807019711,-0.025057777762413,-0.0182037483900785,-0.00380442873574793,0.00132264837156981,Cuneus_R_46,Plac,SON2_013
-0.00681279227137566,-0.00110461376607418,-0.0249670408666134,-0.0153734879568219,0.00192661001347005,0.00263007241301239,Cuneus_R_46,Plac,SON2_014
-0.051471047103405,-0.0542679838836193,-0.0629182830452919,-0.0416772440075874,-0.0355931892991066,-0.0510185770690441,Cuneus_R_46,Plac,SON2_015
-0.0699906200170517,-0.0742078796029091,-0.0893016085028648,-0.0990027189254761,-0.0706802159547806,-0.0727558508515358,Cuneus_R_46,Plac,SON2_016
NaN,NaN,NaN,NaN,NaN,NaN,Cuneus_R_46,Plac,SON2_017
-0.0227532684803009,-0.0154868839308619,-0.0206240862607956,-0.0150439869612455,-0.0156098753213882,-0.010576730594039,Cuneus_R_46,Plac,SON2_018
NaN,NaN,NaN,NaN,NaN,NaN,Cuneus_R_46,Plac,SON2_019
-6.07326437602751e-05,0.000908504880499095,-0.00731362588703632,0.0155039867386222,-0.005846306681633,-0.0114134605973959,Cuneus_R_46,Plac,SON2_020
0.00445282319560647,0.00917990691959858,-0.0139131918549538,0.00143115816172212,0.0175625625997782,0.00983033422380686,Cuneus_R_46,Plac,SON2_022
0.00620736228302121,0.00320653058588505,-0.00346903596073389,-0.00166846299543977,0.0127143720164895,0.012188833206892,Cuneus_R_46,Plac,SON2_023
-0.0696787759661674,-0.0773279070854187,-0.0733285397291183,-0.0601510666310787,-0.0660463348031044,-0.0653150528669357,Cuneus_R_46,Plac,SON2_024
-0.00348034570924938,-0.0134886661544442,-0.013587286695838,-0.00896209385246038,0.0115604000166059,-0.0030463570728898,Cuneus_R_46,Plac,SON2_025
