u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0499170497059822,-0.048589900135994,-0.046767596155405,-0.0270996857434511,-0.0280369594693184,-0.0284035038203001,Frontal_Mid_L_7,Plac,SON2_001
-0.00890748668462038,-0.00848680082708597,-0.00338725559413433,-0.00552564393728971,-0.00358648714609444,0.00201727752573788,Frontal_Mid_L_7,Plac,SON2_003
-0.0272982325404882,-0.0309420749545097,-0.0408615656197071,-0.0251635424792767,-0.0325261354446411,-0.0267865862697363,Frontal_Mid_L_7,Plac,SON2_004
0.0155676398426294,0.033127274364233,0.0117381354793906,0.01358881033957,0.00550311710685492,0.0130617814138532,Frontal_Mid_L_7,Plac,SON2_005
-0.022029897198081,-0.0205457359552383,-0.0298763457685709,-0.0221094451844692,-0.0423319786787033,-0.0270727779716253,Frontal_Mid_L_7,Plac,SON2_006
-0.0112504893913865,-0.0208636559545994,-0.0255184806883335,-0.00581174064427614,0.00577733479440212,-0.00626650964841247,Frontal_Mid_L_7,Plac,SON2_008
0.00323343835771084,0.00471015647053719,-0.00825694762170315,0.00906406529247761,0.00603591045364738,0.0058683785609901,Frontal_Mid_L_7,Plac,SON2_009
-0.000875162368174642,-0.00592292379587889,-0.00168814591597766,-0.00703743193298578,0.0015987609513104,0.00319500593468547,Frontal_Mid_L_7,Plac,SON2_010
-0.00682844454422593,-0.014172276481986,-0.0101416250690818,-0.0051008858717978,-0.0055222986266017,-0.0043150489218533,Frontal_Mid_L_7,Plac,SON2_011
0.0071072899736464,-0.00269116275012493,-0.0049742367118597,0.00266160699538887,0.00144465116318315,0.00616914220154285,Frontal_Mid_L_7,Plac,SON2_012
-0.0589191578328609,-0.050543162971735,-0.0496854707598686,-0.0190556943416595,-0.0237348005175591,-0.00964729860424995,Frontal_Mid_L_7,Plac,SON2_013
-0.0165070164948702,-0.00508620403707027,-0.0256748106330633,-0.00100216816645116,0.000698143267072737,-0.00478889513760805,Frontal_Mid_L_7,Plac,SON2_014
-0.0129526387900114,-0.00786253809928894,-0.0266551803797483,-0.00622824812307954,-0.00151544832624495,-0.015593939460814,Frontal_Mid_L_7,Plac,SON2_015
-0.00833201035857201,-0.00991084426641464,-0.0356115996837616,-0.0026289124507457,-0.0062870979309082,-0.0205938126891851,Frontal_Mid_L_7,Plac,SON2_016
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Mid_L_7,Plac,SON2_017
-0.0452393032610416,-0.0394487082958221,-0.0562311336398125,-0.0327893495559692,-0.0354074276983738,-0.0312101282179356,Frontal_Mid_L_7,Plac,SON2_018
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Mid_L_7,Plac,SON2_019
-0.00302296155132353,0.00317788193933666,-0.00453436886891723,0.0101032825186849,-0.00404876749962568,-0.0162653829902411,Frontal_Mid_L_7,Plac,SON2_020
-0.00783613882958889,-0.0105033237487078,-0.0239070318639278,-0.0108805699273944,0.00113024143502116,-0.00693489331752062,Frontal_Mid_L_7,Plac,SON2_022
-0.0167773850262165,-0.0228638108819723,-0.0229828879237175,-0.0227279234677553,-0.00659517664462328,-0.00648618023842573,Frontal_Mid_L_7,Plac,SON2_023
-0.000898643571417779,-0.0230619814246893,-0.0134828258305788,-0.000413761648815125,-0.0174367632716894,-0.000399457581806928,Frontal_Mid_L_7,Plac,SON2_024
-0.0131634408608079,-0.0307198949158192,-0.0288348533213139,-0.0291815735399723,-0.0258770678192377,-0.0250891745090485,Frontal_Mid_L_7,Plac,SON2_025
