u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0680498331785202,-0.0633714869618416,-0.067169263958931,-0.0419493801891804,-0.0347398035228252,-0.0497001372277737,Frontal_Mid_R_8,Plac,SON2_001
-0.00105957908090204,-0.000536584004294127,0.00161880918312818,-0.00559431361034513,-0.00202354532666504,0.00820818264037371,Frontal_Mid_R_8,Plac,SON2_003
-0.0229589063674212,-0.0288328770548105,-0.039226982742548,-0.0277557857334614,-0.0273001808673143,-0.0175922010093927,Frontal_Mid_R_8,Plac,SON2_004
0.00487250788137317,0.0291566830128431,0.00551282893866301,0.0027786074206233,0.000446846592240036,0.00471672229468822,Frontal_Mid_R_8,Plac,SON2_005
-0.01213498134166,-0.0173437334597111,-0.00740607967600226,-0.012029230594635,-0.0295663774013519,-0.0175139773637056,Frontal_Mid_R_8,Plac,SON2_006
-0.0106008648872375,-0.0185653828084469,-0.0178094226866961,-0.0111849345266819,-7.85111333243549e-05,0.00133177498355508,Frontal_Mid_R_8,Plac,SON2_008
-0.0041308063082397,-0.00088607711950317,-0.00445488002151251,0.00846673548221588,0.00827982928603888,0.0117255114018917,Frontal_Mid_R_8,Plac,SON2_009
-0.00713492790237069,-0.0149611355736852,-0.00484450859948993,-0.0172350984066725,0.000545131624676287,0.00351050682365894,Frontal_Mid_R_8,Plac,SON2_010
-0.00107303843833506,-0.00981234107166529,0.00227521383203566,0.00482147932052612,-0.001718963496387,0.00478838011622429,Frontal_Mid_R_8,Plac,SON2_011
0.000817471707705408,-0.00675829406827688,-0.0102014588192105,-0.00309381121769547,-0.00289975432679057,8.09467164799571e-05,Frontal_Mid_R_8,Plac,SON2_012
-0.0694319754838943,-0.0494941398501396,-0.0510329194366932,-0.0318658910691738,-0.0165312141180038,-0.0116325719282031,Frontal_Mid_R_8,Plac,SON2_013
-0.000491061538923532,0.00834009982645512,-0.00277347886003554,0.0040379068814218,0.0129448529332876,0.0213753711432219,Frontal_Mid_R_8,Plac,SON2_014
-0.0181373674422503,-0.00676032435148954,-0.0224096421152353,0.00344518921338022,0.00677900668233633,-0.00624008290469646,Frontal_Mid_R_8,Plac,SON2_015
-0.0172999110072851,-0.030260656028986,-0.0489953868091106,-0.021008362993598,-0.0302293952554464,-0.0297898780554533,Frontal_Mid_R_8,Plac,SON2_016
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Mid_R_8,Plac,SON2_017
-0.069133035838604,-0.0672303661704063,-0.0801719129085541,-0.0618206635117531,-0.0521132349967957,-0.0573188737034798,Frontal_Mid_R_8,Plac,SON2_018
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Mid_R_8,Plac,SON2_019
-0.0208327546715736,-0.0143013214692473,-0.0112415989860892,0.00135187746491283,-0.0145681938156486,-0.02718186378479,Frontal_Mid_R_8,Plac,SON2_020
-0.0137351509183645,-0.0245268698781729,-0.0330746509134769,-0.0164619125425816,-0.000985401915386319,-0.0114807914942503,Frontal_Mid_R_8,Plac,SON2_022
-0.0185364652425051,-0.0174459014087915,-0.023622365668416,-0.0184665340930223,-0.0111249852925539,-0.00724804773926735,Frontal_Mid_R_8,Plac,SON2_023
-0.038205225020647,-0.0622131079435349,-0.0563842356204987,-0.0374905690550804,-0.0455068312585354,-0.0231931079179049,Frontal_Mid_R_8,Plac,SON2_024
-0.0207786187529564,-0.0244788881391287,-0.0263471435755491,-0.0220840722322464,-0.0249772761017084,-0.0207518581300974,Frontal_Mid_R_8,Plac,SON2_025
