u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
-0.0360853560268879,-0.0317619778215885,-0.0450928173959255,-0.0229680147022009,-0.0234800167381763,-0.0297262407839298,Frontal_Sup_Medial_L_23,Plac,SON2_001
-0.00511051248759031,-0.00916523393243551,-0.00729754799976945,-0.00192733574658632,-0.00799240358173847,0.00480027124285698,Frontal_Sup_Medial_L_23,Plac,SON2_003
-0.0169593188911676,-0.016552422195673,-0.0220924541354179,-0.0199997648596764,-0.0201075673103333,-0.0154916997998953,Frontal_Sup_Medial_L_23,Plac,SON2_004
-0.000735201989300549,0.0203970409929752,0.00386375933885574,-0.00643583852797747,0.00488251447677612,0.00125901866704226,Frontal_Sup_Medial_L_23,Plac,SON2_005
-0.0294266082346439,-0.0373326651751995,-0.0395355522632599,-0.0419098883867264,-0.0608304627239704,-0.0412556044757366,Frontal_Sup_Medial_L_23,Plac,SON2_006
-0.0126283438876271,-0.0190575644373894,-0.0276389457285404,-0.00776312267407775,-0.00531015126034617,-0.0199590176343918,Frontal_Sup_Medial_L_23,Plac,SON2_008
-0.00348226982168853,0.00141843303572387,-0.00295116007328033,0.00198234221898019,0.00339874252676964,-0.000896802521310747,Frontal_Sup_Medial_L_23,Plac,SON2_009
0.00284174783155322,-0.00179340655449778,0.00818927027285099,0.00280180247500539,0.0132139828056097,0.0176703371107578,Frontal_Sup_Medial_L_23,Plac,SON2_010
-0.00789374485611916,-0.0102242603898048,-0.00877769850194454,-0.00246920785866678,-0.00332419434562325,-0.00467055244371295,Frontal_Sup_Medial_L_23,Plac,SON2_011
0.0196564625948668,0.0190837513655424,0.0134900044649839,0.00434937095269561,0.0106857595965266,0.0247853640466928,Frontal_Sup_Medial_L_23,Plac,SON2_012
-0.0366887673735619,-0.035990234464407,-0.032035656273365,-0.015700688585639,-0.0102561367675662,-0.0150946322828531,Frontal_Sup_Medial_L_23,Plac,SON2_013
-0.00143939699046314,0.0118207698687911,-0.00187720661051571,0.00823040120303631,-0.000868488452397287,0.012867827899754,Frontal_Sup_Medial_L_23,Plac,SON2_014
-0.0179680734872818,-0.00756978522986174,-0.0281362030655146,-0.00748330447822809,-0.00752619514241815,-0.00987100601196289,Frontal_Sup_Medial_L_23,Plac,SON2_015
-0.00147956586442888,-0.00289670331403613,-0.0268437508493662,-0.00347871030680835,-0.00426360731944442,-0.012148916721344,Frontal_Sup_Medial_L_23,Plac,SON2_016
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_Medial_L_23,Plac,SON2_017
-0.0307405199855566,-0.0359161719679832,-0.0426504239439964,-0.0317540317773819,-0.0352893248200417,-0.0319895260035992,Frontal_Sup_Medial_L_23,Plac,SON2_018
NaN,NaN,NaN,NaN,NaN,NaN,Frontal_Sup_Medial_L_23,Plac,SON2_019
-0.000425076024839655,0.00189442094415426,-0.00190770160406828,0.0158061124384403,-0.0026861981023103,-0.0084803756326437,Frontal_Sup_Medial_L_23,Plac,SON2_020
0.00920522585511208,0.00655951630324125,-0.00596861355006695,0.00963714066892862,0.0077132903970778,0.00473216455429792,Frontal_Sup_Medial_L_23,Plac,SON2_022
-0.00860586576163769,-0.0018187090754509,-0.00875743664801121,0.000622521911282092,0.00101376045495272,-0.00237215519882739,Frontal_Sup_Medial_L_23,Plac,SON2_023
-0.0250000301748514,-0.0340585298836231,-0.0347890555858612,-0.0126455472782254,-0.0229132659733295,-0.0193966068327427,Frontal_Sup_Medial_L_23,Plac,SON2_024
-0.00919034332036972,-0.0186548009514809,-0.0174048319458961,-0.0137806637212634,-0.00740453321486712,-0.0112316887825727,Frontal_Sup_Medial_L_23,Plac,SON2_025
