u_f,u_h,u_n,p_f,p_h,p_n,Cluster,Condition,ID
0.0678754448890686,0.0654249042272568,0.0554877929389477,0.0722362324595451,0.0510645769536495,0.0832438170909882,Occipital_Inf_R_54,Plac,SON2_001
0.0310587026178837,0.0190793387591839,0.0260148607194424,0.022824389860034,0.028153458610177,0.0329783596098423,Occipital_Inf_R_54,Plac,SON2_003
0.118816018104553,0.106898032128811,0.124631486833096,0.134411528706551,0.105838790535927,0.122386619448662,Occipital_Inf_R_54,Plac,SON2_004
0.104494974017143,0.114169523119926,0.101663179695606,0.0927538424730301,0.0851375684142113,0.115661174058914,Occipital_Inf_R_54,Plac,SON2_005
0.197364896535873,0.185244783759117,0.195203796029091,0.212474316358566,0.171857222914696,0.198869675397873,Occipital_Inf_R_54,Plac,SON2_006
0.0369386225938797,0.0328501649200916,0.0369431599974632,0.0450114756822586,0.0415513589978218,0.0497596897184849,Occipital_Inf_R_54,Plac,SON2_008
0.0524121895432472,0.0638283267617226,0.0561008527874947,0.0679245889186859,0.0532919093966484,0.0740588009357452,Occipital_Inf_R_54,Plac,SON2_009
0.0564695037901402,0.0748622491955757,0.070496566593647,0.0523249953985214,0.0723060294985771,0.0623841695487499,Occipital_Inf_R_54,Plac,SON2_010
-0.00758991157636046,-0.0309002213180065,-0.0066080242395401,0.00113964511547238,0.00386071857064962,0.00548395467922091,Occipital_Inf_R_54,Plac,SON2_011
0.0858306363224983,0.0777655467391014,0.0848723500967026,0.0738694593310356,0.0723580196499825,0.079111322760582,Occipital_Inf_R_54,Plac,SON2_012
0.07038913667202,0.0553267188370228,0.0664287731051445,0.0787644758820534,0.0776333883404732,0.0925210267305374,Occipital_Inf_R_54,Plac,SON2_013
0.113508597016335,0.11319474875927,0.0965437442064285,0.106326453387737,0.0900730267167091,0.102268695831299,Occipital_Inf_R_54,Plac,SON2_014
0.162785544991493,0.160451680421829,0.1469636708498,0.145171284675598,0.127425700426102,0.156649693846703,Occipital_Inf_R_54,Plac,SON2_015
0.124378032982349,0.139611825346947,0.137856736779213,0.12822200357914,0.124188423156738,0.149038255214691,Occipital_Inf_R_54,Plac,SON2_016
NaN,NaN,NaN,NaN,NaN,NaN,Occipital_Inf_R_54,Plac,SON2_017
0.00975458323955536,0.000919287442229688,0.0174042154103518,0.0218642856925726,0.010004935786128,0.0294309668242931,Occipital_Inf_R_54,Plac,SON2_018
NaN,NaN,NaN,NaN,NaN,NaN,Occipital_Inf_R_54,Plac,SON2_019
0.0469289645552635,0.0248656496405602,0.0270384550094604,0.036540299654007,0.0241835080087185,0.0282747372984886,Occipital_Inf_R_54,Plac,SON2_020
0.105165228247643,0.100884594023228,0.0822808369994164,0.104216113686562,0.0942255333065987,0.101825758814812,Occipital_Inf_R_54,Plac,SON2_022
0.0485601648688316,0.0237721987068653,0.0140303028747439,0.0295344199985266,0.0345024280250072,0.0350527912378311,Occipital_Inf_R_54,Plac,SON2_023
0.102953709661961,0.0931132659316063,0.0860383212566376,0.0956248417496681,0.100232824683189,0.104490287601948,Occipital_Inf_R_54,Plac,SON2_024
0.176244914531708,0.186041221022606,0.180689021945,0.187444433569908,0.170626893639565,0.173158749938011,Occipital_Inf_R_54,Plac,SON2_025
